tiempo,evento,token,saldo_vendedor,extra,scenario
70.79712207912172,compra_fallida_sin_tokens,,5000.0,2499.653946878886,scenario_00000
71.03840492892758,mint,T0,4950.0,,scenario_00000
71.26374149404191,mint,T1,4900.0,,scenario_00000
160.1367934881675,mint,T2,4850.0,,scenario_00000
160.6742682812627,mint,T3,4800.0,,scenario_00000
160.92202712626582,mint,T4,4750.0,,scenario_00000
272.53537228181085,compra_exitosa,T0,5781.890218468939,1191.8967569001968,scenario_00000
340.9116981345195,mint,T5,5731.890218468939,,scenario_00000
341.1963142919296,mint,T6,5681.890218468939,,scenario_00000
451.92770708615524,actualizacion_precio,T3,5681.890218468939,786.0379343923761,scenario_00000
457.8915047346113,compra_exitosa,T3,6467.928152861315,3365.731679574631,scenario_00000
530.5502230609242,actualizacion_precio,T6,6467.928152861315,1039.4233021879602,scenario_00000
628.8093008045547,compra_exitosa,T1,7495.832282081328,1701.8084603165241,scenario_00000
629.2760290250532,mint,T7,7445.832282081328,,scenario_00000
629.6269959267046,mint,T8,7395.832282081328,,scenario_00000
629.8506333627794,mint,T9,7345.832282081328,,scenario_00000
630.3824551822933,mint,T10,7295.832282081328,,scenario_00000
630.6749484240404,mint,T11,7245.832282081328,,scenario_00000
631.0653344845471,mint,T12,7195.832282081328,,scenario_00000
631.6027939840423,mint,T13,7145.832282081328,,scenario_00000
711.5576478454025,compra_exitosa,T8,8144.482559607535,2333.659683471728,scenario_00000
732.803361185022,mint,T14,8094.482559607535,,scenario_00000
761.4640743172992,mint,T15,8044.482559607535,,scenario_00000
881.4682344163341,mint,T16,7994.482559607535,,scenario_00000
967.0013615488331,compra_exitosa,T14,9011.619387726532,1678.2482717433213,scenario_00000
972.3160881446584,compra_exitosa,T6,10051.042689914493,2235.83102779043,scenario_00000
1253.8981540787724,compra_exitosa,T5,10994.813936990397,1678.5808674739098,scenario_00000
1333.8530185170464,compra_exitosa,T2,12095.86546547105,1759.8029023863007,scenario_00000
1476.3273783112375,compra_exitosa,T16,13042.051299304754,2584.686521281611,scenario_00000
1549.9277927268647,mint,T17,12992.051299304754,,scenario_00000
1596.174274683816,mint,T18,12942.051299304754,,scenario_00000
1596.584900317307,mint,T19,12892.051299304754,,scenario_00000
1597.0839806032716,mint,T20,12842.051299304754,,scenario_00000
1597.4288330750721,mint,T21,12792.051299304754,,scenario_00000
1604.6015382380228,compra_exitosa,T7,13762.881924325426,2068.3405556865046,scenario_00000
1711.5978616743269,compra_exitosa,T13,14782.568047912338,1845.7605687034475,scenario_00000
1980.6201824508078,compra_exitosa,T15,15859.938089595707,1567.4637104025678,scenario_00000
1986.6713674693926,mint,T22,15809.938089595707,,scenario_00000
1992.0858672206236,compra_exitosa,T19,16889.497635985303,2332.3714065763393,scenario_00000
