tiempo,evento,token,saldo_vendedor,extra
0.5150433700409895,mint,T0,4950.0,
80.46990755982844,compra_exitosa,T0,5920.774023809823,2240.396391604014
80.69613317789516,mint,T1,5870.774023809823,
214.32184586917566,compra_exitosa,T1,6717.216811489113,2494.1121183148525
214.8445933937631,mint,T2,6667.216811489113,
294.7994579718479,compra_exitosa,T2,7728.463690890473,1481.2457127392158
366.30656260576774,compra_fallida_sin_tokens,,7728.463690890473,2890.1637868466096
476.970707398405,mint,T3,7678.463690890473,
477.23350410399337,mint,T4,7628.463690890473,
478.2764861227802,actualizacion_precio,T3,7628.463690890473,1062.206999030605
841.2609770865711,compra_exitosa,T3,8690.670689921079,2535.8129947603293
1562.1071020005872,mint,T5,8640.670689921079,
1636.4544571161982,mint,T6,8590.670689921079,
1636.8821609987697,mint,T7,8540.670689921079,
1643.8406165442368,mint,T8,8490.670689921079,
1644.3785181281414,mint,T9,8440.670689921079,
1644.8576251814377,mint,T10,8390.670689921079,
1645.2835796937593,mint,T11,8340.670689921079,
1645.7463518250686,mint,T12,8290.670689921079,
1646.210281264286,mint,T13,8240.670689921079,
1819.6079517245496,mint,T14,8190.6706899210785,
1820.0594067704287,mint,T15,8140.6706899210785,
1820.5051879949904,mint,T16,8090.6706899210785,
2067.7440588111685,compra_exitosa,T10,9145.602254376901,2373.737713136185
2078.5280927391186,compra_exitosa,T5,10322.479432702843,2036.2847332035603
2334.9468179774053,compra_exitosa,T13,11378.308600178423,2130.86030768728
2648.281962044248,compra_exitosa,T16,12329.778016641636,2257.0104220899343
2696.5507012278354,actualizacion_precio,T14,12329.778016641636,889.6817242691767
2696.9668171910403,mint,T17,12279.778016641636,
2795.6528216249985,compra_exitosa,T11,13273.163688154269,2796.578392729337
2859.596837601815,compra_exitosa,T17,14241.909414444253,2739.113150056702
2859.821654632146,mint,T18,14191.909414444253,
2946.6601005754346,mint,T19,14141.909414444253,
3026.6149651123183,compra_exitosa,T12,15076.60024830922,1556.532265413147
3107.0980167668554,mint,T20,15026.60024830922,
3123.3512924449756,mint,T21,14976.60024830922,
3547.7817183820976,mint,T22,14926.60024830922,
3548.31176902956,mint,T23,14876.60024830922,
3627.7372077722766,compra_exitosa,T6,15827.38589678962,2082.863672084486
3628.257602838931,mint,T24,15777.38589678962,
3628.4838036240176,mint,T25,15727.38589678962,
4241.853035614225,mint,T26,15677.38589678962,
4264.601123319035,mint,T27,15627.38589678962,
4270.053815480659,compra_exitosa,T25,16578.923020389222,1282.4669066643914
4398.113300063567,compra_exitosa,T22,17515.76524747269,1854.8907140637534
4431.70460012394,compra_exitosa,T24,18497.52314775745,1846.556237079034
4432.015799020407,mint,T28,18447.52314775745,
4511.970129771674,compra_exitosa,T7,19484.28807705659,1792.503046157229
4512.275742138419,mint,T29,19434.28807705659,
4592.230606588895,compra_exitosa,T21,20523.82362013285,1047.3196366970335
4592.642268077424,mint,T30,20473.82362013285,
4593.151422312956,mint,T31,20423.82362013285,
4649.209721255356,compra_exitosa,T28,21365.809254982574,1579.6562689406292
4719.914892276169,mint,T32,21315.809254982574,
4720.275367360306,mint,T33,21265.809254982574,
4720.5657141502215,mint,T34,21215.809254982574,
4800.520497425618,compra_exitosa,T14,22105.49097925175,1065.4378879270084
4941.225911430796,actualizacion_precio,T20,22105.49097925175,1048.2066727335387
4968.74728097866,mint,T35,22055.49097925175,
5048.702145056385,compra_exitosa,T35,23092.3642939835,1430.1646077278378
5128.414562228364,compra_exitosa,T34,23973.77823927048,1893.8631203469033
5128.903576168009,mint,T36,23923.77823927048,
5275.945401548732,mint,T37,23873.77823927048,
5313.845493080793,mint,T38,23823.77823927048,
5329.95271882515,mint,T39,23773.77823927048,
5330.198807280504,mint,T40,23723.77823927048,
5330.574115285891,mint,T41,23673.77823927048,
5413.194303829357,mint,T42,23623.77823927048,
5509.7399566963695,compra_exitosa,T40,24814.19189822778,1284.0855429721285
5510.019346700576,mint,T43,24764.19189822778,
5589.974210232315,compra_exitosa,T19,25719.025950611816,1802.5607311989218
5773.055244356018,mint,T44,25669.025950611816,
5773.562635773429,mint,T45,25619.025950611816,
5773.879257339773,mint,T46,25569.025950611816,
5933.788981816214,compra_exitosa,T36,26236.55037862071,1952.2712679563965
6027.604812567541,compra_exitosa,T20,27284.757051354245,1644.7173798378085
6028.130808420798,mint,T47,27234.757051354245,
6028.399608558007,mint,T48,27184.757051354245,
6199.357639343459,actualizacion_precio,T48,27184.757051354245,1037.5216957157163
6199.598012563085,mint,T49,27134.757051354245,
6199.8275260597275,mint,T50,27084.757051354245,
6200.201103975527,mint,T51,27034.757051354245,
6219.785190425707,actualizacion_precio,T42,27034.757051354245,933.2220443531114
6392.280335127393,mint,T52,26984.757051354245,
