tiempo,tokens_circulacion
0.37315725890092877,1
209.17588137634215,2
318.9552739584493,2
319.4786647581286,3
404.74798004935417,3
404.9736368401488,4
405.24976637232356,5
405.5091650691176,6
531.1904021074379,7
611.1773214743538,7
611.6977090253388,8
612.2292383422289,9
612.7177738125542,10
613.0256312901339,11
692.8911679411175,11
693.3699084182597,12
778.7100249386166,12
779.1780892885332,13
1102.7735567160612,14
1108.5195839265937,15
1132.3986905094087,16
1231.1761993453613,16
1233.7263757154653,15
1234.0624617545213,16
1358.4192564094135,17
1358.8504492443328,18
1377.2079962813386,19
1377.6063402876894,20
1382.9222765211896,20
1462.877037269239,20
1547.9511972630642,21
1581.3851836642334,20
1722.2505353321694,21
1763.486328807366,22
1763.8934903308725,23
2172.3936500677924,24
2177.7084484115762,24
2352.7372330788044,24
2432.69209521143,24
2542.2182036965655,24
2583.5101617924433,25
2583.8552452162567,26
2680.4634786460083,26
2681.0005858193385,27
2760.9459279430644,27
2761.4800780183914,28
2841.434941681015,28
2855.0701398299507,28
2934.875235224206,28
2935.101517232831,29
3028.1915069819534,30
3068.7635599886253,31
3069.2834575564602,32
3069.8111630820727,33
3149.5680550205143,33
3149.8269908845905,34
3150.1533257396045,35
3264.642129026219,34
3286.601751623029,34
3398.7355295784027,35
3688.297324824456,34
3773.7663956311003,35
3774.1952854593405,36
3778.575713598675,37
3829.1680502589843,37
3829.437468565259,38
4225.239647830064,38
4305.75436560254,39
4470.8104196586355,40
4544.125164393006,41
4641.320522894499,42
4671.363737110912,43
4671.886455960075,44
4672.299590341311,45
4672.666061673016,46
4672.894738249281,47
4842.43669952374,47
4842.770081891144,48
5035.311740923807,48
5115.266605501892,48
5115.7343340042435,49
5116.232394260427,50
5116.456387690566,51
5233.73250620843,52
5648.690275853845,52
5728.643914671214,52
5778.518155930863,52
5954.718051653633,52
6213.505616510543,53
6214.038864377205,54
6214.263459472543,55
6390.474223286203,56
6391.008932797678,57
6391.2332159300295,58
6391.766453566626,59
6472.092469112654,60
6488.207241395637,60
6568.542181345102,61
6648.497044326405,61
6653.811770933848,61
6739.702200267624,62
6850.936133131976,63
6851.3975168733805,64
6948.706377083245,64
6993.628415965361,65
7073.583198817349,65
7153.53784018566,65
7667.9072437331815,65
7668.846817837732,66
7669.073904640269,67
7876.100916437694,68
8198.245329352152,69
8358.124454817322,69
8513.027155399539,69
8518.714527788583,70
8519.067264155457,71
8659.858585320493,71
8660.374302967384,72
8665.771019260872,72
8666.014258291103,73
8671.340521033924,73
8695.400370454057,73
8843.49724177371,74
8922.87582154667,74
8997.110653273008,74
8997.613114912563,75
9190.182853130778,76
9270.137716574967,76
9275.86478961194,77
9350.411692259238,77
9430.800059028461,78
9511.018659869807,79
9516.741837532922,80
9517.228908854786,81
9517.644412628777,82
9563.789245632937,83
9592.970152111988,84
9694.200489889192,83
9694.651969750466,84
9825.967644061975,85
9826.503266344213,86
9949.167140584641,85
10013.228148861763,86
10060.123374606072,87
10152.986581643463,86
10427.08779908594,87
10505.70479486101,87
10607.565858368102,88
10607.985310239865,89
10631.225726677036,89
10636.54048289475,89
10647.84011648067,89
10727.794980974339,89
10881.68560877331,89
10887.006821661236,89
10966.961686239321,89
11056.45580237462,90
11185.794854738133,91
11265.749718953182,91
11361.819232008564,92
11362.356965528264,93
11362.628300813043,94
11362.958703095064,95
11363.37419744162,96
11443.329060570995,96
11443.732776718376,97
11444.150311343668,98
11524.10517592164,98
11524.364125553977,99
11530.373553414083,99
11655.123751972784,99
11655.393865038182,100
11660.727846439075,100
11661.256119591553,101
11746.942144130588,100
11826.896964751071,100
11986.80666900769,100
11987.110250207676,101
12033.100986885118,102
12044.143630552677,103
12124.098495130762,103
12165.174211253934,104
12532.273064344961,105
12612.525668442275,106
12708.538217483498,106
12788.752835866686,107
12869.24327489092,108
12869.604462666897,109
12869.902873512003,110
12870.440899809715,111
13070.896325319962,112
13150.85023371666,112
13231.13349539514,113
13311.081874522677,113
13311.55892066331,114
13311.834524758397,115
13312.33542804867,116
13777.283232788961,116
13828.860386815735,116
13892.893899306884,116
13930.538233978905,116
13987.372513757886,117
13992.710227190644,117
14350.12747708723,118
14430.082341658877,118
14543.139657226482,118
14623.094520448512,118
14623.37101827987,119
14664.447414647613,120
14852.434408914813,120
14852.78012206389,121
14853.243466381942,122
14933.19813821976,122
14938.512864815355,122
15018.467729393367,122
15122.170373408804,121
15433.734040885469,121
15849.349576655793,122
15929.725557558744,123
16009.680422130361,123
16038.850823381268,124
16118.805687953774,124
16536.951587245665,124
16572.317480045505,125
16652.27234462231,125
16731.476307051587,125
16738.165910281357,125
16897.880528643414,125
16984.714585292026,126
17321.55213899461,126
17353.78388171422,127
17407.81349556691,127
17408.07971095688,128
17408.32415697164,129
17408.68176976379,130
17409.065651975794,131
17529.136189348817,132
17557.8083698578,132
17582.368799022403,132
17699.363810339324,132
17779.621376022,133
17884.2184030297,133
18050.770332705786,133
18130.725135966364,133
18213.99085882061,133
18293.82836900217,133
18434.259713486506,134
18514.21457799936,134
18563.932927516056,135
18643.74155730439,135
18748.03954252363,136
18762.34463796919,136
18831.156526069477,136
18889.496175456887,136
18969.450959921825,136
18975.77969930379,136
18976.12512364656,137
18976.373019354058,138
19216.237350789655,138
19216.588828305146,139
19306.32275499571,140
19306.614792153247,141
19307.015749764025,142
19441.01690470444,143
19516.8509066923,143
19517.373280543674,144
19603.352869895134,144
19603.580328846958,145
19609.002566472554,145
19827.666620880213,145
19905.335191216607,145
19911.150094485332,145
20046.176227406802,146
20126.620891127797,147
20244.49797424905,147
20306.19523839367,147
20386.09381638914,147
20386.620290092986,148
20386.982022379038,149
20387.386726285407,150
20459.089620168503,150
20465.351474399533,151
20549.25187959053,152
20608.63309454623,153
20616.979926155902,154
20702.7423012569,154
20703.23565320965,155
20839.208938213673,155
20839.598034681676,156
20977.320030030067,157
21241.89153534466,156
21242.238735743533,157
21242.7546121269,158
21322.709277032605,158
21348.063620028614,158
21428.280481034955,159
21428.503199528255,160
21428.73433848755,161
21437.29964697415,161
21522.56924921855,161
21602.523999469515,161
21602.879060355397,162
21690.842450382508,162
21805.23854103061,162
21885.192622441424,162
21970.836176250556,163
22171.579766254537,163
22171.942923632447,164
22424.22685627569,165
22429.777622870977,166
22454.99691062419,167
22489.286362825325,168
22569.239857033306,168
22569.58478229194,169
22649.53964686997,169
22729.4944584187,169
22809.955934797406,170
22810.184712899234,171
22810.6181237562,172
22811.02056666217,173
22811.416998169225,174
22811.857244939674,175
22986.392027563033,175
22986.688940376625,176
22987.123001733136,177
22987.350048351764,178
23066.696841340905,178
23144.652901871556,179
23224.605639094258,179
23315.889610293823,179
23361.77523506788,180
23362.31180171372,181
23367.63352248902,181
23452.906981834858,181
23453.289786070458,182
23587.92799635284,183
23668.147017960964,184
23668.67603841839,185
23885.770259240075,185
23965.725017326302,185
24075.578976897315,185
24080.915569023964,185
24288.686977700832,186
24288.998311194806,187
24368.953170413082,187
24449.238230564486,188
24462.9582551816,188
24530.34410979315,188
24605.8975265969,188
24727.31326622431,189
24733.466621432315,189
24927.42306207451,189
25007.901146226413,190
25088.106040611954,191
25088.45798345038,192
25088.94698357411,193
25089.272347833605,194
25169.22721233061,194
25209.84043881737,195
25289.794564607957,195
25409.99139223552,195
25948.337122955356,195
25994.534785951088,196
25994.9460978275,197
26074.90096240536,197
26154.855825398758,197
26214.276631254674,198
26214.50110335674,199
26381.621164653872,200
26381.863372022635,201
26382.194207764132,202
26387.509108118677,202
26387.89322018516,203
26428.940535606213,203
26429.454125356253,204
26429.736157095893,205
26459.694254781105,206
26460.214458007784,207
26460.55900367284,208
26540.513828795727,208
26675.135556641173,208
26905.63102695284,208
26905.987243258427,209
26921.508339313365,210
26921.780005561715,211
27001.81319472188,212
27002.090027461305,213
27161.422850084116,213
27252.058676392942,214
27263.047651665584,214
27452.555626185,214
27532.97233467954,215
27538.28706135074,215
27539.186625097358,216
27539.70803476328,217
27624.06743292439,218
