tiempo,tokens_circulacion
70.79712207912172,0
71.03840492892758,1
71.26374149404191,2
160.1367934881675,3
160.6742682812627,4
160.92202712626582,5
272.53537228181085,5
340.9116981345195,6
341.1963142919296,7
451.9277070861552,7
457.8915047346113,7
530.5502230609242,7
628.8093008045547,7
629.2760290250532,8
629.6269959267046,9
629.8506333627794,10
630.3824551822933,11
630.6749484240404,12
631.0653344845471,13
631.6027939840423,14
711.5576478454025,14
732.803361185022,15
761.4640743172992,16
881.4682344163341,17
967.0013615488332,17
972.3160881446584,17
1253.8981540787724,17
1333.8530185170464,17
1476.3273783112377,17
1549.9277927268647,18
1596.174274683816,19
1596.584900317307,20
1597.0839806032716,21
1597.428833075072,22
1604.6015382380228,22
1711.5978616743269,22
1980.620182450808,22
1986.6713674693929,23
1992.085867220624,23
2109.5486757526987,24
2189.903434221304,25
2451.267638556837,25
2456.582365153085,25
2456.841948519345,26
2462.165856292106,26
2462.463132773408,27
2602.5419971235606,27
2603.079079752576,28
2614.0191129658297,28
2638.3808654208606,29
2718.330840230674,29
2718.6102315288726,30
2798.565096100151,30
3152.539350730552,30
3172.955426179707,31
3252.910218914252,31
3322.14557610614,32
3328.958875540577,32
3409.2099982612635,33
3409.4329302404312,34
3468.496446353113,34
3827.9076973371575,35
3828.441482733118,36
3906.625282103525,37
4040.859087312309,37
4121.344474893809,38
4121.78897315305,39
4214.990484093403,39
4379.253852072624,40
4379.482048407163,41
4385.428933561814,42
4385.651671357544,43
4391.064033978714,43
4471.278015807366,44
4471.755989412977,45
4570.565733132914,44
4651.040155745248,45
4731.408107618018,46
4731.682475589341,47
4731.949305704295,48
4732.478500261858,49
4732.922108477113,50
4813.239325929673,51
4829.360721331941,52
5033.015237687167,53
5210.387949380804,53
5210.925263719565,54
5290.880128297632,54
5490.47599505017,54
5496.351914596579,55
5496.766800473429,56
5496.996811767986,57
5728.05145429775,57
5728.523414031547,58
5873.389784532252,59
6129.74306594341,60
6130.195106639111,61
6130.669053507709,62
6201.8001988402375,63
6364.930486178288,64
6370.259639960492,64
6370.6511015248925,65
6446.1824013107325,65
6586.3509150576965,66
6723.259307109852,66
6802.223168152171,67
6884.750150134257,68
6963.33442000805,69
7043.289284586071,69
7123.244099909231,69
7201.206161013754,70
7266.093820177533,71
7345.653924473427,71
7350.970665619268,71
7518.738166306746,71
7671.497628289654,72
7751.818842476687,73
7829.459959935611,74
7829.683224550537,75
7830.105664410863,76
7830.43183116984,77
7910.744955699511,78
7984.775909933619,79
8064.730774503187,79
8064.957420581431,80
8242.646743832087,81
8252.172599725047,82
8252.61520942181,83
8369.758907453377,83
8396.268456928492,83
9170.601592987698,84
9170.94714725627,85
9171.178070555943,86
9171.708915775873,87
9172.00486869332,88
9251.959733253898,88
9331.91459783187,88
9332.331114621966,89
9408.77832583262,89
9870.597579690268,90
9871.126044579802,91
9933.261566447272,91
9945.378002712365,92
9950.692983381092,92
9956.236541492675,93
10036.5111599513,94
10037.047177943352,95
10037.585204447918,96
10042.90058383515,96
10260.24011548364,97
10306.591768532757,96
10306.81694743694,97
10307.050527069196,98
10406.154851809288,99
10486.42974469858,100
10494.124593179296,101
10499.97679312542,102
10745.691118201305,103
10826.00373818236,104
10905.958602748788,104
10929.777740757789,104
10930.056651463956,105
10935.751348624335,105
11004.15602019634,105
11489.82745756571,106
11503.137604315916,107
11663.047332247344,107
11663.387712016864,108
11663.922381648925,109
11869.456956321326,110
11869.779750926746,111
11947.38029978431,112
12032.64993856618,112
12033.148370038289,113
12113.103234616148,113
12198.084409279629,114
12265.439133175492,115
12297.365406460884,115
12303.147622298717,116
12303.538055577495,117
12580.510330811814,117
12580.733693061293,118
12581.227459296591,119
12581.484181762062,120
12581.721155028315,121
12623.144163551964,121
12623.675246667312,122
12624.17837441575,123
12699.454221586366,123
12699.990421341758,124
12791.39918122906,124
12791.759435976875,125
13073.54245900268,125
13073.987092809988,126
